student_id,study_level,video_completion_pct,lecture_duration_min,pause_count,rewatch_count,quiz_attempts,quiz_score_pct,notes_taken,questions_asked,login_delay_min,sessions_per_week,screen_time_hours,completion_ratio,quiz_efficiency,engagement_score,performance_category,next_quiz_score,reference_behavior_group
S1028,Medium,87.6,20.8,7,2,2,62.3,Yes,0,14.8,2,3.4,0.876,31.16,23.0,Poor,67.0,Mixed learners
S1029,Good,85.2,23.3,0,4,4,72.4,Yes,4,4.5,6,6.5,0.852,18.11,100.0,Very Good,89.9,Quiz-focused learners
S1030,Poor,57.2,58.7,8,4,2,45.8,No,2,6.9,6,4.2,0.572,22.88,61.3,Low,53.8,Mixed learners
S1031,Good,90.9,31.8,4,2,2,51.4,Sometimes,3,2.6,1,4.2,0.909,25.72,53.8,Low,63.0,Mixed learners
S1032,Low,66.5,50.8,5,6,2,53.5,Sometimes,0,0.1,7,5.3,0.665,26.76,82.3,Good,63.6,Rewatch learners
S1033,Poor,51.4,45.0,10,3,5,59.8,Sometimes,1,10.2,9,2.9,0.514,11.97,71.6,Medium,63.9,Quiz-focused learners
S1034,Very Good,95.6,35.3,8,3,2,54.9,Sometimes,2,0.0,5,4.7,0.956,27.44,82.4,Good,67.6,Mixed learners
S1035,Very Good,100.0,28.2,4,4,5,62.1,Sometimes,2,5.1,3,3.8,1.0,12.42,65.2,Medium,69.3,Quiz-focused learners
S1036,Good,77.8,24.9,2,3,3,58.3,No,1,1.0,10,2.1,0.778,19.45,100.0,Very Good,78.4,Mixed learners
S1037,Medium,76.1,44.6,0,4,3,53.8,Yes,1,11.8,2,5.1,0.761,17.93,38.7,Poor,66.3,Mixed learners
S1038,Poor,49.4,51.0,3,1,3,34.4,No,1,20.6,5,4.0,0.494,11.46,23.4,Poor,45.5,Mixed learners
S1039,Good,95.6,45.8,4,1,3,72.0,Sometimes,2,0.0,5,4.2,0.956,23.99,91.8,Very Good,84.2,Complete learners
S1040,Medium,62.8,41.2,2,0,1,66.8,Sometimes,3,0.0,7,2.3,0.628,66.83,100.0,Very Good,64.8,Mixed learners
S1041,Low,60.5,21.7,5,3,2,48.8,Yes,3,7.1,5,7.4,0.605,24.4,68.2,Medium,55.9,Mixed learners
S1042,Medium,78.0,58.7,5,4,4,47.9,Yes,1,8.1,4,6.1,0.78,11.97,54.2,Low,57.1,Quiz-focused learners
S1043,Poor,67.5,51.9,4,3,2,38.0,Sometimes,1,9.5,3,6.2,0.675,19.0,35.2,Poor,48.7,Mixed learners
S1044,Very Good,93.5,31.7,3,6,1,64.1,No,1,4.9,4,4.0,0.935,64.13,68.3,Medium,69.5,Rewatch learners
S1045,Low,60.6,59.2,6,2,2,56.1,Sometimes,3,6.6,2,1.4,0.606,28.04,41.2,Poor,56.7,Mixed learners
S1046,Good,100.0,44.1,6,4,5,68.8,No,3,10.6,5,8.0,1.0,13.76,73.6,Medium,73.2,Quiz-focused learners
S1047,Medium,63.4,43.3,2,0,4,48.5,Sometimes,2,15.3,3,4.4,0.634,12.13,32.3,Poor,51.9,Quiz-focused learners
S1048,Medium,57.4,49.9,9,2,2,41.1,Sometimes,1,0.0,2,3.2,0.574,20.56,35.8,Poor,47.3,Mixed learners
S1049,Medium,78.5,52.5,5,4,4,46.6,No,0,5.4,7,5.3,0.785,11.65,74.5,Medium,52.9,Quiz-focused learners
S1050,Low,61.0,46.3,5,4,2,54.1,Sometimes,1,9.5,4,6.6,0.61,27.06,42.7,Poor,66.7,Mixed learners
S1051,Very Good,85.8,25.1,7,2,1,65.9,Yes,1,1.6,2,4.5,0.858,65.93,54.6,Poor,67.6,Mixed learners
S1052,Good,91.7,33.5,6,2,1,48.9,Yes,1,20.1,4,6.8,0.917,48.88,33.6,Poor,55.3,Last-minute learners
S1053,Very Good,96.0,57.1,8,0,4,75.9,Sometimes,2,3.6,5,6.4,0.96,18.97,79.7,Good,81.3,Complete learners
S1054,Very Good,89.5,29.0,6,2,2,64.9,No,3,7.7,1,2.6,0.895,32.43,42.9,Poor,64.7,Mixed learners
S1055,Good,75.8,34.9,3,4,2,65.3,No,3,11.9,5,3.3,0.758,32.64,66.3,Medium,68.2,Mixed learners
S1056,Very Good,100.0,37.3,6,4,2,54.3,Sometimes,1,3.9,2,6.2,1.0,27.13,50.1,Low,68.8,Mixed learners
S1057,Poor,60.2,37.6,2,4,5,36.2,Yes,2,0.0,8,0.5,0.602,7.23,100.0,Very Good,60.7,Quiz-focused learners
S1058,Low,64.2,44.5,5,3,4,47.7,No,1,5.0,6,4.2,0.642,11.93,67.5,Medium,59.0,Quiz-focused learners
S1059,Poor,69.8,57.7,5,3,5,55.4,Yes,2,15.2,4,1.9,0.698,11.08,43.6,Poor,64.7,Quiz-focused learners
S1060,Medium,66.4,29.6,4,1,2,64.3,No,0,5.6,3,3.6,0.664,32.13,42.8,Poor,60.8,Mixed learners
S1061,Medium,62.8,24.9,5,4,3,53.9,Yes,1,2.1,4,4.0,0.628,17.97,62.1,Low,68.4,Mixed learners
S1062,Low,59.5,27.9,0,3,1,44.8,Sometimes,0,14.5,6,3.9,0.595,44.82,48.8,Poor,47.1,Mixed learners
S1063,Good,85.6,55.5,3,3,4,50.3,Yes,1,5.7,4,3.5,0.856,12.58,65.2,Medium,65.1,Quiz-focused learners
S1064,Medium,76.9,45.8,5,1,1,64.5,Sometimes,1,4.4,4,2.5,0.769,64.47,60.5,Low,66.9,Mixed learners
S1065,Low,63.1,31.4,5,0,3,40.7,Sometimes,1,9.0,5,8.6,0.631,13.55,49.6,Poor,55.4,Mixed learners
S1066,Medium,77.8,52.6,2,5,1,68.0,No,0,13.4,3,7.9,0.778,68.05,35.1,Poor,62.6,Rewatch learners
S1067,Low,55.0,54.5,9,2,2,42.5,No,2,24.7,4,2.4,0.55,21.23,6.9,Poor,39.1,Mixed learners
S1068,Good,97.6,53.9,2,1,1,76.6,Yes,1,13.8,1,7.3,0.976,76.62,35.9,Poor,77.2,Mixed learners
S1069,Poor,54.3,56.8,8,4,2,49.9,Yes,3,16.1,6,3.8,0.543,24.94,51.8,Low,60.1,Mixed learners
S1070,Very Good,100.0,30.1,6,2,2,63.9,Yes,0,4.5,5,4.7,1.0,31.95,73.9,Medium,85.6,Mixed learners
S1071,Good,88.7,50.2,3,5,2,55.8,Sometimes,1,0.8,3,4.4,0.887,27.89,65.1,Medium,56.9,Rewatch learners
S1072,Low,68.7,38.4,10,4,4,48.2,Yes,4,8.4,8,3.3,0.687,12.04,89.8,Very Good,71.9,Quiz-focused learners
S1073,Poor,59.6,53.7,1,4,1,50.2,No,1,8.8,5,6.3,0.596,50.23,56.9,Low,67.3,Mixed learners
S1074,Good,89.6,49.1,8,0,3,60.9,Sometimes,0,0.5,2,4.7,0.896,20.31,46.6,Low,62.5,Complete learners
S1075,Good,91.1,51.1,8,5,4,56.3,Sometimes,1,6.8,6,3.6,0.911,14.07,70.6,Good,63.8,Rewatch learners
S1076,Good,96.6,46.2,3,3,2,62.2,Sometimes,1,10.8,5,2.2,0.966,31.08,65.2,Medium,71.1,Mixed learners
S1077,Good,87.6,27.1,9,2,2,60.0,Sometimes,2,10.5,5,2.9,0.876,30.02,58.1,Low,69.4,Mixed learners
S1078,Poor,60.7,41.8,4,3,2,30.3,No,2,11.5,4,1.5,0.607,15.14,40.2,Poor,45.7,Mixed learners
S1079,Medium,74.3,59.4,6,0,4,57.1,Sometimes,3,10.0,5,4.5,0.743,14.27,63.3,Medium,60.7,Quiz-focused learners
S1080,Poor,66.5,57.5,6,3,3,42.1,Yes,3,4.5,4,2.3,0.665,14.03,64.8,Medium,61.9,Mixed learners
S1081,Very Good,88.6,21.7,5,0,2,50.6,Sometimes,2,4.4,6,4.0,0.886,25.32,82.8,Very Good,60.9,Complete learners
S1082,Good,100.0,26.6,7,0,3,51.5,No,1,0.0,1,7.0,1.0,17.17,47.8,Low,51.6,Complete learners
S1083,Medium,74.7,25.3,7,0,1,39.3,No,3,20.5,4,6.7,0.747,39.25,29.5,Poor,57.5,Last-minute learners
S1084,Poor,43.6,49.0,0,5,3,28.8,No,1,8.1,8,4.4,0.436,9.59,73.8,Good,33.5,Rewatch learners
S1085,Medium,76.0,52.7,9,1,3,48.5,Sometimes,1,6.4,3,4.3,0.76,16.18,39.0,Poor,54.5,Mixed learners
S1086,Medium,69.6,28.5,0,6,2,66.9,Sometimes,1,1.5,3,7.9,0.696,33.46,63.7,Low,79.3,Rewatch learners
S1087,Good,92.7,40.2,8,1,1,57.5,Sometimes,1,28.5,4,5.4,0.927,57.52,11.9,Poor,67.4,Last-minute learners
S1088,Good,80.8,53.6,8,0,1,57.8,Yes,1,0.5,2,3.9,0.808,57.77,51.9,Low,57.4,Complete learners
S1089,Very Good,90.4,49.3,2,0,3,63.9,Sometimes,0,5.0,1,1.9,0.904,21.3,39.4,Poor,64.0,Complete learners
S1090,Medium,59.9,41.7,4,5,4,48.0,Yes,3,10.9,4,5.2,0.599,12.0,53.7,Low,55.1,Rewatch learners
S1091,Poor,51.4,43.6,2,2,2,42.5,No,3,12.2,5,6.0,0.514,21.25,54.1,Low,49.6,Mixed learners
S1092,Good,66.6,40.3,4,1,3,40.4,Sometimes,3,14.7,4,3.4,0.666,13.47,43.0,Low,53.5,Mixed learners
S1093,Good,73.3,31.9,4,3,1,64.6,Yes,2,20.7,4,5.0,0.733,64.61,37.3,Poor,63.3,Last-minute learners
S1094,Good,92.1,42.6,7,4,2,75.9,No,1,11.5,5,3.8,0.921,37.95,58.8,Low,87.8,Mixed learners
S1095,Good,92.3,47.6,9,5,2,48.1,No,1,0.6,7,4.2,0.923,24.03,88.2,Very Good,69.3,Rewatch learners
S1096,Medium,78.4,54.9,9,5,1,47.1,Yes,1,6.2,4,0.5,0.784,47.09,52.0,Low,64.1,Rewatch learners
S1097,Medium,67.3,45.5,3,2,1,48.0,Sometimes,2,10.2,3,4.1,0.673,48.03,42.3,Poor,49.5,Mixed learners
S1098,Medium,74.6,50.4,4,0,2,45.9,Yes,0,22.5,4,6.2,0.746,22.93,20.3,Poor,65.0,Last-minute learners
S1099,Poor,55.0,26.4,0,2,3,48.8,No,0,0.0,6,3.4,0.55,16.26,77.0,Good,54.0,Mixed learners
S1100,Poor,45.7,38.5,3,3,2,34.8,Yes,2,16.4,7,4.6,0.457,17.38,55.6,Low,51.2,Mixed learners
S1101,Poor,67.0,20.4,8,1,1,67.5,Sometimes,0,9.3,3,3.1,0.67,67.48,30.4,Poor,58.6,Mixed learners
S1102,Good,93.0,29.9,10,1,1,71.4,No,4,13.9,5,5.1,0.93,71.38,64.1,Low,72.2,Mixed learners
S1103,Medium,73.2,49.1,1,3,2,54.7,Sometimes,0,7.3,5,4.1,0.732,27.33,60.5,Low,65.5,Mixed learners
S1104,Medium,75.2,59.7,3,2,3,62.1,No,0,2.1,3,2.8,0.752,20.69,54.0,Low,60.5,Mixed learners
S1105,Very Good,95.7,24.0,5,3,1,71.9,Sometimes,1,13.3,5,6.9,0.957,71.9,58.9,Low,74.0,Mixed learners
S1106,Low,48.7,36.1,6,1,2,37.4,No,1,12.6,2,6.2,0.487,18.69,11.3,Poor,35.9,Mixed learners
S1107,Medium,73.0,52.0,3,2,2,46.3,No,4,14.8,1,3.4,0.73,23.17,28.7,Poor,52.9,Mixed learners
S1108,Good,80.5,28.2,6,1,4,56.9,Sometimes,1,7.9,5,5.4,0.805,14.22,59.8,Low,62.3,Complete learners
S1109,Low,57.0,42.2,4,4,2,52.5,No,1,3.8,4,5.5,0.57,26.27,53.9,Low,53.4,Mixed learners
S1110,Poor,52.8,49.3,5,5,3,44.9,Yes,2,0.0,5,5.7,0.528,14.95,73.9,Good,53.6,Rewatch learners
S1111,Low,79.4,44.6,7,0,3,43.1,No,1,13.7,4,1.5,0.794,14.37,35.4,Poor,45.9,Mixed learners
S1112,Low,70.1,27.5,5,1,1,45.1,Sometimes,5,11.0,3,6.3,0.701,45.13,53.1,Low,44.5,Mixed learners
S1113,Very Good,89.4,34.2,4,0,3,59.7,No,3,1.2,4,3.5,0.894,19.88,81.8,Good,69.3,Complete learners
S1114,Good,90.6,51.4,5,1,3,60.2,Sometimes,4,4.2,2,3.9,0.906,20.05,63.8,Low,60.6,Complete learners
S1115,Good,97.2,42.2,5,2,3,79.5,Yes,2,4.7,7,9.2,0.972,26.51,100.0,Very Good,95.2,Mixed learners
S1116,Very Good,100.0,20.2,4,0,7,53.9,No,1,0.0,2,5.0,1.0,7.7,60.8,Medium,68.5,Complete learners
S1117,Good,86.5,50.4,4,1,1,63.0,Yes,1,2.3,4,3.8,0.865,62.96,73.3,Medium,75.2,Complete learners
S1118,Low,59.8,21.4,10,0,5,58.8,No,2,0.1,2,0.5,0.598,11.77,43.6,Poor,63.4,Quiz-focused learners
S1119,Very Good,99.6,49.8,7,3,2,83.0,Yes,1,5.1,6,7.0,0.996,41.49,87.7,Very Good,90.1,Mixed learners
S1120,Medium,78.1,28.1,4,3,3,51.9,Sometimes,2,2.8,4,2.1,0.781,17.31,68.1,Medium,63.3,Mixed learners
S1121,Good,93.2,58.3,7,1,2,65.9,Yes,2,0.0,3,2.7,0.932,32.93,73.3,Good,70.2,Complete learners
S1122,Very Good,99.1,34.7,4,3,2,69.1,Sometimes,1,22.2,6,3.9,0.991,34.57,51.2,Low,92.0,Last-minute learners
S1123,Medium,83.4,33.1,9,1,2,59.1,Sometimes,1,16.8,5,7.0,0.834,29.55,39.0,Poor,77.4,Last-minute learners
S1124,Poor,50.7,26.0,6,2,3,42.0,No,1,2.5,6,5.9,0.507,14.01,65.1,Medium,50.4,Mixed learners
S1125,Low,75.5,32.2,5,6,1,57.5,No,3,9.9,3,4.2,0.755,57.48,49.6,Low,62.2,Rewatch learners
S1126,Medium,76.6,55.1,6,5,3,34.2,Yes,1,10.9,2,5.1,0.766,11.4,27.8,Poor,55.6,Rewatch learners
S1127,Good,100.0,59.9,0,0,2,70.5,Sometimes,2,16.3,5,3.4,1.0,35.23,66.4,Low,78.0,Last-minute learners
S1128,Very Good,88.5,34.7,2,4,1,60.8,Sometimes,3,2.3,4,4.8,0.885,60.83,82.6,Good,64.7,Mixed learners
S1129,Poor,68.9,37.9,1,4,2,49.2,Yes,1,15.6,6,4.6,0.689,24.61,58.2,Medium,67.1,Mixed learners
S1130,Medium,76.6,48.9,5,0,4,70.8,Sometimes,0,4.2,4,6.2,0.766,17.71,57.1,Low,70.3,Quiz-focused learners
S1131,Medium,69.8,55.4,10,4,2,46.0,Yes,3,0.0,5,6.2,0.698,23.0,77.6,Good,60.2,Mixed learners
S1132,Low,61.1,43.7,12,6,3,44.3,Yes,2,13.1,1,5.4,0.611,14.76,8.1,Poor,43.5,Rewatch learners
S1133,Poor,52.4,35.7,7,0,2,59.5,Sometimes,1,17.0,8,3.8,0.524,29.76,54.7,Low,55.9,Mixed learners
S1134,Medium,78.4,36.5,7,1,3,48.6,Yes,2,26.1,4,5.8,0.784,16.21,20.4,Poor,62.4,Last-minute learners
S1135,Very Good,98.2,47.8,0,5,3,59.8,No,0,0.0,6,4.3,0.982,19.93,94.3,Good,78.9,Rewatch learners
S1136,Medium,70.4,20.1,3,3,5,50.5,Sometimes,0,12.9,3,2.6,0.704,10.1,28.5,Poor,53.8,Quiz-focused learners
S1137,Medium,74.8,44.8,3,4,2,60.4,Sometimes,0,5.1,5,3.8,0.748,30.19,63.5,Low,72.8,Mixed learners
S1138,Good,100.0,34.2,3,3,3,66.7,No,2,13.5,2,4.7,1.0,22.22,42.9,Poor,67.1,Mixed learners
S1139,Medium,88.8,51.8,4,3,3,49.6,Yes,0,0.0,5,6.1,0.888,16.54,79.0,Good,61.7,Mixed learners
S1140,Very Good,97.5,23.7,4,0,4,59.6,Yes,2,0.0,4,4.2,0.975,14.9,86.0,Very Good,72.7,Complete learners
S1141,Very Good,94.3,43.5,0,5,2,57.6,Sometimes,1,2.6,5,2.3,0.943,28.79,84.4,Very Good,69.5,Rewatch learners
S1142,Low,66.0,39.2,7,5,3,49.1,Sometimes,1,8.6,6,4.6,0.66,16.35,58.3,Low,62.6,Rewatch learners
S1143,Medium,79.9,45.7,2,2,2,59.4,Yes,3,3.5,2,4.7,0.799,29.68,64.8,Medium,59.7,Mixed learners
S1144,Medium,66.8,22.6,6,2,2,53.4,Sometimes,1,12.6,3,4.8,0.668,26.71,28.8,Poor,62.3,Mixed learners
S1145,Low,62.9,43.2,11,0,3,34.1,Sometimes,1,15.2,5,6.2,0.629,11.37,27.0,Poor,57.5,Mixed learners
S1146,Poor,41.7,42.5,2,4,3,47.3,Sometimes,0,12.2,9,6.3,0.417,15.75,68.6,Medium,56.3,Mixed learners
S1147,Good,89.2,42.4,0,4,2,62.2,Yes,4,19.3,4,3.4,0.892,31.08,61.0,Medium,78.2,Last-minute learners
S1148,Medium,80.2,44.1,4,2,3,67.2,Sometimes,0,10.9,6,3.4,0.802,22.39,61.7,Low,67.7,Mixed learners
S1149,Poor,51.1,47.1,8,5,4,46.6,Yes,4,0.0,4,2.6,0.511,11.64,71.2,Good,57.3,Rewatch learners
S1150,Low,77.6,52.2,11,2,4,63.7,Yes,1,17.5,8,5.8,0.776,15.93,61.3,Low,82.6,Last-minute learners
S1151,Very Good,84.2,30.8,1,4,4,61.6,Sometimes,2,3.8,1,7.1,0.842,15.4,50.8,Poor,65.5,Quiz-focused learners
S1152,Low,53.3,53.0,6,0,2,54.7,Sometimes,1,14.4,5,3.9,0.533,27.37,36.9,Poor,56.0,Mixed learners
S1153,Low,66.8,39.9,4,2,1,54.2,Yes,1,19.0,1,4.1,0.668,54.24,7.2,Poor,40.1,Mixed learners
S1154,Medium,83.4,23.1,5,2,4,56.7,Sometimes,1,11.2,1,7.1,0.834,14.18,23.6,Poor,55.0,Quiz-focused learners
S1155,Very Good,100.0,22.3,13,3,4,83.2,Yes,1,0.0,5,5.4,1.0,20.79,81.1,Good,85.6,Quiz-focused learners
S1156,Low,61.3,33.4,0,2,4,54.7,Yes,1,1.6,5,5.3,0.613,13.68,78.3,Good,56.6,Quiz-focused learners
S1157,Good,94.6,51.4,6,2,2,67.2,Sometimes,1,17.3,4,2.4,0.946,33.59,40.0,Poor,73.9,Last-minute learners
S1158,Good,85.7,48.3,6,4,2,48.4,Yes,0,6.8,4,5.7,0.857,24.18,53.0,Low,61.2,Mixed learners
S1159,Low,63.6,51.5,8,2,1,38.3,Yes,3,8.6,11,2.8,0.636,38.32,100.0,Very Good,61.0,Mixed learners
S1160,Good,93.1,40.7,5,0,2,64.2,Yes,1,13.3,4,2.5,0.931,32.11,52.3,Low,68.9,Mixed learners
S1161,Medium,80.2,37.6,6,6,4,57.3,Sometimes,0,12.9,6,3.9,0.802,14.32,52.8,Low,64.0,Rewatch learners
S1162,Good,73.4,25.9,4,5,2,48.1,No,3,10.0,3,3.4,0.734,24.06,48.4,Low,60.1,Rewatch learners
S1163,Good,97.8,33.1,6,0,3,65.1,Sometimes,1,6.5,5,4.1,0.978,21.71,70.2,Medium,71.9,Complete learners
S1164,Medium,86.0,37.4,4,4,2,71.4,Yes,2,5.8,4,1.9,0.86,35.71,72.8,Medium,73.5,Mixed learners
S1165,Poor,50.0,23.5,7,1,3,48.1,Sometimes,1,14.0,4,6.2,0.5,16.02,25.6,Poor,47.1,Mixed learners
S1166,Very Good,97.2,28.8,4,3,1,54.6,Yes,2,11.9,8,6.5,0.972,54.6,93.2,Very Good,79.9,Mixed learners
S1167,Medium,79.0,43.9,6,3,3,54.6,Sometimes,1,6.2,7,1.0,0.79,18.21,78.2,Good,70.0,Mixed learners
S1168,Low,67.1,49.4,5,2,1,43.7,Sometimes,2,15.6,5,6.3,0.671,43.75,43.6,Poor,39.0,Mixed learners
S1169,Poor,50.6,59.9,8,1,2,39.7,No,4,7.1,1,3.0,0.506,19.83,27.4,Poor,44.1,Mixed learners
S1170,Good,80.6,57.3,5,1,1,53.0,Yes,0,2.0,4,6.0,0.806,52.97,63.2,Medium,71.5,Complete learners
S1171,Good,85.8,45.7,0,1,4,54.8,Sometimes,1,2.7,10,4.4,0.858,13.7,100.0,Very Good,70.6,Complete learners
S1172,Poor,64.4,36.8,9,1,3,38.9,No,0,1.1,4,4.6,0.644,12.98,46.5,Poor,43.9,Mixed learners
S1173,Medium,79.3,45.4,2,2,3,54.7,Sometimes,0,6.1,7,4.2,0.793,18.23,79.5,Good,65.6,Mixed learners
S1174,Low,62.0,51.4,3,1,4,43.4,Yes,2,16.6,7,6.7,0.62,10.86,62.6,Low,55.7,Quiz-focused learners
S1175,Good,92.2,24.7,3,4,1,38.0,Sometimes,0,2.4,5,2.3,0.922,38.04,70.6,Medium,59.7,Mixed learners
S1176,Low,42.2,36.4,9,5,5,55.4,No,1,9.3,3,5.6,0.422,11.08,22.7,Poor,39.4,Rewatch learners
S1177,Good,95.2,53.6,0,1,4,71.5,Yes,0,3.4,1,6.5,0.952,17.89,52.8,Poor,67.3,Complete learners
S1178,Medium,61.1,35.4,14,3,2,44.5,Yes,0,6.2,6,5.8,0.611,22.24,48.9,Low,65.5,Mixed learners
S1179,Very Good,91.1,42.9,8,3,4,61.1,Yes,3,0.0,3,8.7,0.911,15.29,75.1,Medium,65.3,Quiz-focused learners
S1180,Low,56.0,43.5,6,3,1,35.8,Sometimes,3,6.5,5,3.5,0.56,35.85,59.9,Low,52.7,Mixed learners
S1181,Medium,64.6,27.4,5,3,2,62.7,Sometimes,1,6.6,2,6.2,0.646,31.33,35.4,Poor,59.6,Mixed learners
S1182,Poor,64.3,34.5,6,4,2,64.1,Yes,3,11.8,4,4.3,0.643,32.05,53.8,Low,56.5,Mixed learners
S1183,Very Good,90.3,33.4,7,3,2,61.9,Sometimes,1,9.6,5,6.7,0.903,30.93,59.3,Medium,74.3,Mixed learners
S1184,Very Good,96.8,21.0,7,0,1,71.7,Yes,5,0.0,5,4.5,0.968,71.74,100.0,Very Good,80.9,Complete learners
S1185,Low,64.6,21.0,7,4,4,50.5,Sometimes,1,15.6,2,3.8,0.646,12.62,12.0,Poor,48.9,Quiz-focused learners
S1186,Good,89.8,53.3,5,4,2,49.7,Sometimes,3,9.5,7,6.9,0.898,24.86,85.9,Very Good,69.5,Mixed learners
S1187,Good,86.6,30.9,4,1,3,55.7,No,1,9.4,3,3.6,0.866,18.56,45.7,Low,65.0,Complete learners
S1188,Good,75.7,40.7,5,3,2,55.1,No,2,7.9,1,2.0,0.757,27.57,32.2,Poor,58.6,Mixed learners
S1189,Medium,83.0,31.9,4,4,1,53.7,No,1,4.4,4,3.6,0.83,53.7,62.0,Low,68.3,Mixed learners
S1190,Low,61.0,57.6,8,2,3,45.7,No,2,9.5,5,5.6,0.61,15.24,49.5,Low,55.5,Mixed learners
S1191,Poor,42.5,30.4,7,5,1,38.4,Yes,0,11.3,5,7.0,0.425,38.42,33.4,Poor,40.0,Rewatch learners
S1192,Very Good,90.6,37.2,0,7,2,60.1,No,2,0.0,7,4.7,0.906,30.06,100.0,Very Good,71.9,Rewatch learners
S1193,Very Good,100.0,54.9,7,1,1,65.4,Yes,1,4.2,4,6.9,1.0,65.42,70.1,Medium,91.7,Complete learners
S1194,Good,92.8,53.7,6,0,5,53.3,Yes,1,6.2,4,2.1,0.928,10.66,62.7,Low,71.8,Complete learners
S1195,Medium,72.2,27.4,5,3,4,46.8,Sometimes,2,9.8,2,3.7,0.722,11.69,33.5,Poor,63.2,Quiz-focused learners
S1196,Medium,72.2,52.1,4,4,3,42.2,No,1,16.4,6,4.0,0.722,14.07,48.0,Low,63.9,Last-minute learners
S1197,Good,83.4,38.3,8,2,4,65.4,Yes,2,2.6,5,4.3,0.834,16.34,79.1,Good,75.2,Quiz-focused learners
S1198,Very Good,100.0,39.3,8,5,1,48.2,Sometimes,0,4.5,4,4.7,1.0,48.15,55.6,Low,66.0,Rewatch learners
